airportName,airporCity,airportCountryCode,airportContinent,airporElevation
Salem Municipal Airport/McNary Field,Salem,US,NA,214
Ladysmith Airport,Ladysmith,ZA,AF,3548
Lemmon Municipal Airport,Lemmon,US,NA,2571
Luzhou Airport,Luzhou,CN,AS,
Diomício Freitas Airport,Criciúma,BR,SA,93
Mae Hong Son Airport,Mae Hong Son,TH,AS,1271
Lenawee County Airport,Adrian,US,NA,798
Santa Maria Airport,Santa María,PE,SA,769
Dos Lagunas Airport,Dos Lagunas,GT,NA,1057
Praia International Airport,Praia,CV,AF,230
Pamol Airport,Pamol,MY,AS,36
RAF Kinloss,Kinloss,GB,EU,22
Tinboli Airport,Tinboli,PG,OC,59
Nadzab Airport,Lae,PG,OC,239
Sóc Trăng Airport,Sóc Trăng,VN,AS,20
Creston Municipal Airport,Creston,US,NA,1300
Fazenda São João Airport,Orlândia,BR,SA,2172
Ranai Airport,Ranai-Natuna Besar Island,ID,AS,7
Hill Air Force Base,Ogden,US,NA,4789
Bijie Feixiong Airport,Bijie,CN,AS,4751
Exuma International Airport,George Town,BS,NA,9
Ford Airport,Iron Mountain / Kingsford,US,NA,1182
Juína Airport,Juína,BR,SA,1083
Kissidougou Airport,Kissidougou,GN,AF,1808
Oyem Airport,Oyem,GA,AF,2158
Sparti Airport,Sparti,GR,EU,500
Albury Airport,Albury,AU,OC,539
Chomley Seaplane Base,Chomley,US,NA,0
Kerau Airport,Gunim,PG,OC,7360
Sønderborg Airport,Sønderborg,DK,EU,24
Barra do Garças Airport,Barra Do Garças,BR,SA,1147
Tchongorove Airport,Iguela,GA,AF,48
Nutwood Downs Airport,Nutwood Downs,AU,OC,500
Inagua Airport,Matthew Town,BS,NA,8
Algeciras Heliport,Algeciras,ES,EU,98
Bacacheri Airport,Curitiba,BR,SA,3057
Kirkuk Air Base,Kirkuk,IQ,AS,1061
Fasa Airport,Fasa,IR,AS,4261
São Joaquim da Barra Airport,São Joaquim Da Barra,BR,SA,2136
Bowen Airport,,AU,OC,8
Malolo Lailai Island Airport,Malolo Lailai Island,FJ,OC,10
Pitalito Airport,Pitalito,CO,SA,4212
Dresden Airport,Dresden,DE,EU,755
Gascoyne Junction Airport,Gascoyne Junction,AU,OC,499
Kinston Regional Jetport At Stallings Field,Kinston,US,NA,93
Gympie Airport,,AU,OC,260
Merced Regional Macready Field,Merced,US,NA,155
Mweka Airport,Mweka,CD,AF,1968
Canton Municipal Airport,Canton,US,NA,1290
George Best Belfast City Airport,Belfast,GB,EU,15
Cholet Le Pontreau Airport,Cholet/Le Pontreau,FR,EU,443
Toussus-le-Noble Airport,Toussus-le-Noble,FR,EU,538
Oksibil Airport,Oksibil-Papua Island,ID,AS,4315
Marshall Don Hunter Sr Airport,Marshall,US,NA,103
Uléi Airport,Ambryn Island,VU,OC,170
St Aubin Airport,Dieppe,FR,EU,344
Brewster Field,Holdrege,US,NA,2313
Komodo Airport,Labuan Bajo - Flores Island,ID,AS,66
Braga Municipal Aerodrome,Braga,PT,EU,247
Sopu Airport,Sopu,PG,OC,6580
Chakcharan Airport,Chakcharan,AF,AS,7383
Dorado Beach Airport,Dorado,PR,NA,75
Rijeka Airport,Rijeka,HR,EU,278
Wings Field,Philadelphia,US,NA,302
Fontanges Airport,Fontanges,CA,NA,1550
Bonito Airport,Bonito,BR,SA,1180
University of Oklahoma Westheimer Airport,Norman,US,NA,1182
Maquehue Airport,Temuco,CL,SA,304
San Fernando Airport,Los Angeles,US,NA,1168
Al Najaf International Airport,Najaf,IQ,AS,103
Kamishly Airport,Kamishly,SY,AS,1480
Pleiku Airport,Pleiku,VN,AS,2434
Alto Parnaíba Airport,Alto Parnaíba,BR,SA,968
Nicaro Airport,Nicaro,CU,NA,26
Agatti Airport,,IN,AS,14
Komaio Airport,Komaio,PG,OC,28
El Fasher Airport,El Fasher,SD,AF,2393
Bathurst Airport,Bathurst,AU,OC,2435
Degah Bur Airport,Degah Bur,ET,AF,3550
Athens Ben Epps Airport,Athens,US,NA,808
Taskul Airport,Taskul,PG,OC,100
Capitan FAP Pedro Canga Rodriguez Airport,Tumbes,PE,SA,115
Southeast Texas Regional Airport,Beaumont/Port Arthur,US,NA,15
Sishen Airport,Sishen,ZA,AF,3848
Santa Terezinha Airport,Santa Terezinha,BR,SA,663
Piarco International Airport,Port of Spain,TT,NA,58
Cuyahoga County Airport,Cleveland,US,NA,879
Dubuque Regional Airport,Dubuque,US,NA,1077
Kauehi Airport,Kauehi,PF,OC,13
Cacoal Airport,Cacoal,BR,SA,778
Antalya International Airport,Antalya,TR,AS,177
Elenak Airport,Mejato Island,MH,OC,16
Cairo West Airport,El Cairo,EG,AF,550
Omar N Bradley Airport,Moberly,US,NA,867
Haikou Meilan International Airport,Haikou,CN,AS,75
Caye Chapel Airport,Caye Chapel,BZ,NA,3
Jinzhou Airport,Jinzhou,CN,AS,
Flensburg-Schäferhaus Airport,Flensburg,DE,EU,131
Hesler Noble Field,Laurel,US,NA,238
Aeroclube de Bento Gonçalves Airport,Bento Gonçalves,BR,SA,2209
Røst Airport,,NO,EU,7
Rabat-Salé Airport,Rabat,MA,AF,276
Bhurban Heliport,Bhurban,PK,AS,5750
Chinggis Khaan International Airport,Ulan Bator,MN,AS,4364
Tennant Creek Airport,Tennant Creek,AU,OC,1236
Beloretsk Airport,Beloretsk,RU,EU,1827
Stenkol Airport,Bintuni,ID,AS,57
Boscobel Aerodrome,Ocho Rios,JM,NA,90
Nanortalik Heliport,Nanortalik,GL,NA,17
Captain João Busse Airport,Apucarana,BR,SA,2641
Aropa Airport,Kieta,PG,OC,20
Muir Army Air Field (Fort Indiantown Gap) Airport,Fort Indiantown Gap(Annville),US,NA,488
Miyazaki Airport,Miyazaki,JP,AS,20
Zinder Airport,Zinder,NE,AF,1516
Caye Chapel Airport,Caye Chapel,BZ,NA,3
Dixie Airport,New Dixie,AU,OC,580
Eagle Air Park,Brazoria,US,NA,15
Grand Coulee Dam Airport,Electric City,US,NA,1588
Bryce Canyon Airport,Bryce Canyon,US,NA,7590
Minnipa Airport,,AU,OC,155
Ikaria Airport,Ikaria Island,GR,EU,79
Argyle International Airport,Kingstown,VC,NA,136
Makini Airport,Makini,PG,OC,2530
Jaffrey Airport Silver Ranch Airport,Jaffrey,US,NA,1040
South Galway Airport,,AU,OC,116
Ozona Municipal Airport,Ozona,US,NA,2381
